0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
51   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/blacklight5/jetty/contexts at interval 0
68   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/blacklight5/jetty/contexts/solr.xml
234  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/home/ubuntu/blacklight5/jetty/webapps/solr.war!/ to /home/ubuntu/blacklight5/jetty/solr-webapp/webapp
8022 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/ubuntu/blacklight5/jetty/solr/blacklight-core/data
8022 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/home/ubuntu/blacklight5/jetty/solr/blacklight-core/data/index/
8023 [coreLoadExecutor-3-thread-1] WARN  org.apache.solr.core.SolrCore  – [blacklight-core] Solr index directory '/home/ubuntu/blacklight5/jetty/solr/blacklight-core/data/index' doesn't exist. Creating new index...
8038 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /home/ubuntu/blacklight5/jetty/solr/blacklight-core/data/index
8127 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=/home/ubuntu/blacklight5/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
8128 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
8253 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
8261 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
8262 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
8267 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
8268 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
8268 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
8274 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
8276 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: org.apache.solr.handler.admin.AdminHandlers
8279 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
8289 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created search: solr.SearchHandler
8289 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created document: solr.SearchHandler
8290 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created advanced: solr.SearchHandler
8320 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
8342 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
8342 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
8357 [coreLoadExecutor-3-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
